Name,URL,Average Cost
Maravanthe,https://www.zomato.com/bangalore/maravanthe-indiranagar,1100
Rara Avis,https://www.zomato.com/bangalore/rara-avis-sahakara-nagar,1100
Malabar Bay,https://www.zomato.com/bangalore/malabar-bay-btm,800
Imperio Restaurant,https://www.zomato.com/bangalore/imperio-restaurant-1-brookefield-bangalore,800
Motis Kitchen,https://www.zomato.com/bangalore/motis-kitchen-thippasandra,350
Aattutheeram Kerala Restaurant,https://www.zomato.com/bangalore/aattutheeram-kerala-restaurant-hennur-bangalore,400
Bamboo Restaurant,https://www.zomato.com/bangalore/bamboo-restaurant-kalyan-nagar-bangalore,700
Muthashy's,https://www.zomato.com/bangalore/muthashys-btm-bangalore,400
Erivum Puliyum,https://www.zomato.com/bangalore/erivum-puliyum-brookefield-bangalore,600
Green Pepper,https://www.zomato.com/bangalore/green-pepper-jeevan-bhima-nagar,600
