Dish,count
starters,76
cheesecake,71
biryani,64
chicken,45
vada,45
desserts,42
chicken biryani,41
rolls,41
gulab jamun,39
rice,39
salads,37
pizzas,37
ice creams,36
raita,36
pasta,36
chutney,35
lassi,35
coffee,35
momos,34
burgers,34
dessert,33
sweets,32
noodle,32
snacks,32
tandoori chicken,31
chicken 65,31
salad,30
rice bowl,30
masala dosa,30
wraps,29
filtered coffee,29
idli,29
soup,29
mutton biryani,28
mutton,28
sauce,27
noodles,27
hot chocolate,27
butter chicken,26
chocolate,26
sandwiches,26
parathas,26
